"id_10" "name_10" "id_06" "name_06" "id_mrb" "name_mrb"
"58" 58 "HOMA-IR" NA NA "771" "HOMA-IR"
"59" 59 "Former vs current smoker" NA NA "963" "Former vs current smoker"
"60" 60 "Eczema" "G403bC" "Eczema || EAGLE || 2014 || log odds" "996" "Eczema"
"61" 61 "Adiponectin" "be8jeT" "Adiponectin || ADIPOGen || 2012 || ln(mg/dL)" "1" "Adiponectin"
"62" 62 "Amyotrophic lateral sclerosis" "9oYbC7" "Amyotrophic lateral sclerosis || Project MinE || 2016 || log odds" "1086" "Amyotrophic lateral sclerosis"
"63" 63 "Inflammatory bowel disease" "2JHOaO" "Inflammatory bowel disease || IIBDGC || 2015 || log odds" "31" "Inflammatory bowel disease"
"64" 64 "Psoriasis" "ru1TsT" "Psoriasis || NA || 2012 || log odds" "282" "Psoriasis"
"65" 65 "Serum cystatin C (eGFRcys)" "LYINz6" "Serum cystatin C (eGFRcys) || CKDGen || 2015 || log ml/min/1.73 m^2" "1106" "Serum cystatin C (eGFRcys)"
"66" 66 "Leptin" "xEtKgU" "Leptin || NA || 2016 || log ng/ml" "1003" "Leptin"
"67" 67 "Intracranial volume" "Enw0s1" "Intracranial volume || ENIGMA || 2015 || mm3" "1041" "Intracranial volume"
"68" 68 "Nucleus accumbens volume" NA NA "1042" "Nucleus accumbens volume"
"69" 69 "Amygdala volume" "a1ORJb" "Amygdala volume || ENIGMA || 2015 || mm3" "1043" "Amygdala volume"
"70" 70 "Caudate volume" NA NA "1044" "Caudate volume"
"71" 71 "Hippocampus volume" "RRtkhE" "Hippocampus volume || ENIGMA || 2015 || mm3" "1045" "Hippocampus volume"
"72" 72 "Pallidum volume" NA NA "1046" "Pallidum volume"
"73" 73 "Putamen volume" "xS6NB0" "Putamen volume || ENIGMA || 2015 || mm3" "1047" "Putamen volume"
"74" 74 "Thalamus volume" NA NA "1048" "Thalamus volume"
"75" 75 "Autism" "jMjSDn" "Autism || PGC || 2015 || log odds" "802" "Autism"
"76" 76 "Birth length" "pOkEtF" "Birth length || EGG || 2015 || SD (cm)" "29" "Birth length"
"77" 77 "Ulcerative colitis" "PWMkn2" "Ulcerative colitis || IIBDGC || 2015 || log odds" "32" "Ulcerative colitis"
"78" 78 "Lung cancer" "KOXypv" "Lung cancer || TRICL || NA || NA" "966" "Lung cancer"
"79" 79 "Multiple sclerosis" "OhzvQY" "Multiple sclerosis || IMSGC || 2013 || log odds" "286" "Multiple sclerosis"
"80" 80 "Asthma" "Rw6Pkj" "Asthma || GABRIEL || 2007 || log odds" "44" "Asthma"
"81" 81 "Tyrosine" NA NA "938" "Tyrosine"
"82" 82 "Valine" NA NA "940" "Valine"
"83" 83 "Lactate" NA NA "894" "Lactate"
"84" 84 "Creatinine" NA NA "850" "Creatinine"
"85" 85 "Alanine" NA NA "840" "Alanine"
"86" 86 "Isoleucine" NA NA "873" "Isoleucine"
"87" 87 "Citrate" NA NA "849" "Citrate"
"88" 88 "Pyruvate" NA NA "920" "Pyruvate"
"89" 89 "Acetate" NA NA "839" "Acetate"
"90" 90 "Leucine" NA NA "897" "Leucine"
"91" 91 "Glucose" NA NA "859" "Glucose"
"92" 92 "Glutamine" NA NA "860" "Glutamine"
"93" 93 "3-hydroxybutyrate" NA NA "846" "3-hydroxybutyrate"
"94" 94 "Iron" "tMGZDb" "Iron || GIS || 2014 || SD" "1049" "Iron"
"95" 95 "Ferritin" "Viy63a" "Ferritin || GIS || 2014 || SD" "1050" "Ferritin"
"96" 96 "Transferrin Saturation" "ZSdR37" "Transferrin Saturation || GIS || 2014 || SD" "1051" "Transferrin Saturation"
"97" 97 "Transferrin" "ruGtyj" "Transferrin || GIS || 2014 || SD" "1052" "Transferrin"
"98" 98 "Systemic lupus erythematosus" "SZMwdb" "Systemic lupus erythematosus || NA || 2015 || log odds" "288" "Systemic lupus erythematosus"
"99" 99 "Phenylalanine" NA NA "919" "Phenylalanine"
"100" 100 "Sitting height ratio" "9sC9e0" "Sitting height ratio || NA || 2015 || SD" "1070" "Sitting height ratio"
"101" 101 "Free cholesterol in IDL" NA NA "868" "Free cholesterol in IDL"
"102" 102 "Phospholipids in IDL" NA NA "871" "Phospholipids in IDL"
"103" 103 "Free cholesterol in large HDL" NA NA "876" "Free cholesterol in large HDL"
"104" 104 "Total cholesterol in LDL" NA NA "895" "Total cholesterol in LDL"
"105" 105 "Free cholesterol in medium HDL" NA NA "900" "Free cholesterol in medium HDL"
"106" 106 "Total cholesterol in medium LDL" NA NA "904" "Total cholesterol in medium LDL"
"107" 107 "Free cholesterol in small VLDL" NA NA "928" "Free cholesterol in small VLDL"
"108" 108 "Total cholesterol in large HDL" NA NA "874" "Total cholesterol in large HDL"
"109" 109 "Total cholesterol in medium HDL" NA NA "898" "Total cholesterol in medium HDL"
"110" 110 "Phospholipids in medium HDL" NA NA "903" "Phospholipids in medium HDL"
"111" 111 "Phospholipids in medium LDL" NA NA "908" "Phospholipids in medium LDL"
"112" 112 "Triglycerides in small HDL" NA NA "923" "Triglycerides in small HDL"
"113" 113 "Triglycerides in small VLDL" NA NA "932" "Triglycerides in small VLDL"
"114" 114 "Total cholesterol in small VLDL" NA NA "927" "Total cholesterol in small VLDL"
"115" 115 "Total cholesterol in small LDL" NA NA "924" "Total cholesterol in small LDL"
"116" 116 "Total cholesterol in HDL" NA NA "864" "Total cholesterol in HDL"
"117" 117 "Free cholesterol in large LDL" NA NA "882" "Free cholesterol in large LDL"
"118" 118 "Total cholesterol in large LDL" NA NA "880" "Total cholesterol in large LDL"
"119" 119 "Total cholesterol in medium VLDL" NA NA "909" "Total cholesterol in medium VLDL"
"120" 120 "Phospholipids in small VLDL" NA NA "931" "Phospholipids in small VLDL"
"121" 121 "Phospholipids in large LDL" NA NA "885" "Phospholipids in large LDL"
"122" 122 "Triglycerides in very large VLDL" NA NA "952" "Triglycerides in very large VLDL"
"123" 123 "Serum total triglycerides" NA NA "934" "Serum total triglycerides"
"124" 124 "Free cholesterol in very large HDL" NA NA "944" "Free cholesterol in very large HDL"
"125" 125 "Phospholipids in chylomicrons and largest VLDL particles" NA NA "959" "Phospholipids in chylomicrons and largest VLDL particles"
"126" 126 "Total cholesterol in very large HDL" NA NA "942" "Total cholesterol in very large HDL"
"127" 127 "Triglycerides in chylomicrons and largest VLDL particles" NA NA "960" "Triglycerides in chylomicrons and largest VLDL particles"
"128" 128 "Triglycerides in very large HDL" NA NA "948" "Triglycerides in very large HDL"
"129" 129 "Serum total cholesterol" NA NA "933" "Serum total cholesterol"
"130" 130 "Triglycerides in medium VLDL" NA NA "915" "Triglycerides in medium VLDL"
"131" 131 "Free cholesterol in medium VLDL" NA NA "911" "Free cholesterol in medium VLDL"
"132" 132 "Phospholipids in medium VLDL" NA NA "914" "Phospholipids in medium VLDL"
"133" 133 "Phospholipids in large VLDL" NA NA "891" "Phospholipids in large VLDL"
"134" 134 "Triglycerides in large VLDL" NA NA "892" "Triglycerides in large VLDL"
"135" 135 "Free cholesterol in large VLDL" NA NA "888" "Free cholesterol in large VLDL"
"136" 136 "Phospholipids in very large VLDL" NA NA "951" "Phospholipids in very large VLDL"
"137" 137 "Total cholesterol in large VLDL" NA NA "886" "Total cholesterol in large VLDL"
"138" 138 "Crohn's disease" "SFFmdM" "Crohn's disease || IIBDGC || 2015 || log odds" "30" "Crohn's disease"
"139" 139 "Apolipoprotein B" NA NA "843" "Apolipoprotein B"
"140" 140 "Apolipoprotein A-I" NA NA "842" "Apolipoprotein A-I"
"141" 141 "Glycerol" NA NA "861" "Glycerol"
"142" 142 "Mean diameter for HDL particles" NA NA "865" "Mean diameter for HDL particles"
"143" 143 "Total cholesterol in IDL" NA NA "867" "Total cholesterol in IDL"
"144" 144 "Total lipids in IDL" NA NA "869" "Total lipids in IDL"
"145" 145 "Concentration of IDL particles" NA NA "870" "Concentration of IDL particles"
"146" 146 "Triglycerides in IDL" NA NA "872" "Triglycerides in IDL"
"147" 147 "Cholesterol esters in large HDL" NA NA "875" "Cholesterol esters in large HDL"
"148" 148 "Total lipids in large HDL" NA NA "877" "Total lipids in large HDL"
"149" 149 "Concentration of large HDL particles" NA NA "878" "Concentration of large HDL particles"
"150" 150 "Phospholipids in large HDL" NA NA "879" "Phospholipids in large HDL"
"151" 151 "Cholesterol esters in large VLDL" NA NA "881" "Cholesterol esters in large VLDL"
"152" 152 "Total lipids in large LDL" NA NA "883" "Total lipids in large LDL"
"153" 153 "Concentration of large LDL particles" NA NA "884" "Concentration of large LDL particles"
"154" 154 "Mean diameter for LDL particles" NA NA "896" "Mean diameter for LDL particles"
"155" 155 "Cholesterol esters in medium HDL" NA NA "899" "Cholesterol esters in medium HDL"
"156" 156 "Total lipids in medium HDL" NA NA "901" "Total lipids in medium HDL"
"157" 157 "Concentration of medium HDL particles" NA NA "902" "Concentration of medium HDL particles"
"158" 158 "Cholesterol esters in medium LDL" NA NA "905" "Cholesterol esters in medium LDL"
"159" 159 "Total lipids in medium LDL" NA NA "906" "Total lipids in medium LDL"
"160" 160 "Concentration of medium LDL particles" NA NA "907" "Concentration of medium LDL particles"
"161" 161 "Cholesterol esters in medium VLDL" NA NA "910" "Cholesterol esters in medium VLDL"
"162" 162 "Total lipids in medium VLDL" NA NA "912" "Total lipids in medium VLDL"
"163" 163 "Concentration of medium VLDL particles" NA NA "913" "Concentration of medium VLDL particles"
"164" 164 "Total lipids in small HDL" NA NA "921" "Total lipids in small HDL"
"165" 165 "Concentration of small HDL particles" NA NA "922" "Concentration of small HDL particles"
"166" 166 "Total lipids in small LDL" NA NA "925" "Total lipids in small LDL"
"167" 167 "Concentration of small LDL particles" NA NA "926" "Concentration of small LDL particles"
"168" 168 "Total lipids in small VLDL" NA NA "929" "Total lipids in small VLDL"
"169" 169 "Concentration of small VLDL particles" NA NA "930" "Concentration of small VLDL particles"
"170" 170 "Mean diameter for VLDL particles" NA NA "941" "Mean diameter for VLDL particles"
"171" 171 "Cholesterol esters in very large HDL" NA NA "943" "Cholesterol esters in very large HDL"
"172" 172 "Total lipids in very large HDL" NA NA "945" "Total lipids in very large HDL"
"173" 173 "Concentration of very large HDL particles" NA NA "946" "Concentration of very large HDL particles"
"174" 174 "Phospholipids in very large HDL" NA NA "947" "Phospholipids in very large HDL"
"175" 175 "Total lipids in very large VLDL" NA NA "949" "Total lipids in very large VLDL"
"176" 176 "Total lipids in very small VLDL" NA NA "953" "Total lipids in very small VLDL"
"177" 177 "Concentration of very small VLDL particles" NA NA "954" "Concentration of very small VLDL particles"
"178" 178 "Phospholipids in very small VLDL" NA NA "955" "Phospholipids in very small VLDL"
"179" 179 "Triglycerides in very small VLDL" NA NA "956" "Triglycerides in very small VLDL"
"180" 180 "Glycoprotein acetyls" NA NA "863" "Glycoprotein acetyls"
"181" 181 "Acetoacetate" NA NA "838" "Acetoacetate"
"182" 182 "Histidine" NA NA "866" "Histidine"
"183" 183 "Average number of methylene groups in a fatty acid chain" NA NA "848" "Average number of methylene groups in a fatty acid chain"
"184" 184 "Albumin" NA NA "841" "Albumin"
"185" 185 "Total lipids in large VLDL" NA NA "889" "Total lipids in large VLDL"
"186" 186 "Concentration of large VLDL particles" NA NA "890" "Concentration of large VLDL particles"
"187" 187 "Concentration of very large VLDL particles" NA NA "950" "Concentration of very large VLDL particles"
"188" 188 "Total lipids in chylomicrons and largest VLDL particles" NA NA "957" "Total lipids in chylomicrons and largest VLDL particles"
"189" 189 "Concentration of chylomicrons and largest VLDL particles" NA NA "958" "Concentration of chylomicrons and largest VLDL particles"
"190" 190 "Urea" NA NA "939" "Urea"
"191" 191 "Major depressive disorder" NA NA "805" "Major depressive disorder"
"192" 192 "Glycoproteins" NA NA "862" "Glycoproteins"
"193" 193 "Lung adenocarcinoma" "4KxRUQ" "Lung adenocarcinoma || TRICL || NA || NA" "965" "Lung adenocarcinoma"
"194" 194 "Squamous cell lung cancer" "3vD0Le" "Squamous cell lung cancer || TRICL || NA || NA" "967" "Squamous cell lung cancer"
"195" 195 "Anorexia nervosa" "q8mG82" "Anorexia nervosa || GCAN || 2014 || log odds" "45" "Anorexia nervosa"
"196" 196 "Neo-agreeableness" NA NA "113" "Neo-agreeableness"
"197" 197 "Neo-conscientiousness" "goI77P" "Neo-conscientiousness || GPC || 2012 || arbitrary score" "114" "Neo-conscientiousness"
"198" 198 "Neo-extraversion" NA NA "115" "Neo-extraversion"
"199" 199 "Neo-neuroticism" NA NA "116" "Neo-neuroticism"
"200" 200 "Neo-openness to experience" "4ykY7g" "Neo-openness to experience || GPC || 2012 || arbitrary score" "117" "Neo-openness to experience"
"201" 201 "Bipolar disorder" "z45E1Y" "Bipolar disorder || PGC || 2011 || log odds" "801" "Bipolar disorder"
"202" 202 "Extreme height" "iC9qNf" "Extreme height || GIANT || 2013 || log odds" "86" "Extreme height"
"203" 203 "Extreme body mass index" "xQpbnX" "Extreme body mass index || GIANT || 2013 || log odds" "85" "Extreme body mass index"
"204" 204 "Juvenile idiopathic arthritis" "MZk6dW" "Juvenile idiopathic arthritis || NA || 2013 || log odds" "279" "Juvenile idiopathic arthritis"
"205" 205 "Average number of double bonds in a fatty acid chain" NA NA "851" "Average number of double bonds in a fatty acid chain"
"206" 206 "Celiac disease" "0EsPW3" "Celiac disease || NA || 2011 || log odds" "276" "Celiac disease"
"207" 207 "2hr glucose" "0F2j9e" "2hr glucose || MAGIC || 2013 || mmol/L" "756" "2hr glucose"
"208" 208 "Childhood obesity" "6tpFMj" "Childhood obesity || EGG || 2012 || log odds" "1096" "Childhood obesity"
"209" 209 "Other polyunsaturated fatty acids than 18:2" NA NA "917" "Other polyunsaturated fatty acids than 18:2"
"210" 210 "Omega-3 fatty acids" NA NA "855" "Omega-3 fatty acids"
"211" 211 "Phosphatidylcholine and other cholines" NA NA "918" "Phosphatidylcholine and other cholines"
"212" 212 "Mono-unsaturated fatty acids" NA NA "916" "Mono-unsaturated fatty acids"
"213" 213 "Average number of methylene groups per double bond" NA NA "847" "Average number of methylene groups per double bond"
"214" 214 "18:2, linoleic acid (LA)" NA NA "893" "18:2, linoleic acid (LA)"
"215" 215 "Ratio of bisallylic groups to double bonds" NA NA "844" "Ratio of bisallylic groups to double bonds"
"216" 216 "Total phosphoglycerides" NA NA "937" "Total phosphoglycerides"
"217" 217 "Omega-6 fatty acids" NA NA "856" "Omega-6 fatty acids"
"218" 218 "Omega-9 and saturated fatty acids" NA NA "857" "Omega-9 and saturated fatty acids"
"219" 219 "Total fatty acids" NA NA "936" "Total fatty acids"
"220" 220 "22:6, docosahexaenoic acid" NA NA "852" "22:6, docosahexaenoic acid"
"221" 221 "Free cholesterol to esterified cholesterol ratio" NA NA "853" "Free cholesterol to esterified cholesterol ratio"
"222" 222 "Free cholesterol" NA NA "858" "Free cholesterol"
"223" 223 "Description of average fatty acid chain length, not actual carbon number" NA NA "854" "Description of average fatty acid chain length, not actual carbon number"
"224" 224 "Sphingomyelins" NA NA "935" "Sphingomyelins"
"225" 225 "Type 1 diabetes" "NNctmP" "Type 1 diabetes || NA || 2015 || log odds" "290" "Type 1 diabetes"
"226" 226 "Primary biliary cirrhosis" "RWte4s" "Primary biliary cirrhosis || NA || 2012 || log odds" "287" "Primary biliary cirrhosis"
"227" 227 "Ratio of bisallylic groups to total fatty acids" NA NA "845" "Ratio of bisallylic groups to total fatty acids"
"228" 228 "Plasma cortisol" "FcVRZf" "Plasma cortisol || CORNET || 2014 || SD" "1012" "Plasma cortisol"
"229" 229 "Childhood intelligence" NA NA "16" "Childhood intelligence"
"230" 230 "Narcolepsy" "Q5JF2I" "Narcolepsy || NA || 2013 || log odds" "1098" "Narcolepsy"
"231" 231 "Difference in height between childhood and adulthood" "N3LEWN" "Difference in height between childhood and adulthood || EGG || 2013 || SD" "1037" "Difference in height between childhood and adulthood"
"232" 232 "Infant head circumference" NA NA "28" "Infant head circumference"
"233" 233 "Fasting proinsulin" "0BCHdX" "Fasting proinsulin || MAGIC || 2011 || log pmol/L" "769" "Fasting proinsulin"
"234" 234 "Extreme waist-to-hip ratio" "xD7q00" "Extreme waist-to-hip ratio || GIANT || 2013 || log odds" "87" "Extreme waist-to-hip ratio"
"235" 235 "C-reactive protein" NA NA "1015" "C-reactive protein"
"236" 236 "Difference in height between adolescence and adulthood" "gEK82d" "Difference in height between adolescence and adulthood || EGG || 2013 || SD" "1040" "Difference in height between adolescence and adulthood"
"237" 237 "Telomere length" "Oh661R" "Telomere length || NA || 2012 || kilobase pair" "998" "Telomere length"
"238" 238 "Creatine" NA NA "451" "Creatine"
"239" 239 "Docosapentaenoate (n3 DPA; 22:5n3)" NA NA "483" "Docosapentaenoate (n3 DPA; 22:5n3)"
"240" 240 "3-hydroxybutyrate (BHBA)" NA NA "311" "3-hydroxybutyrate (BHBA)"
"241" 241 "Docosahexaenoate (DHA; 22:6n3)" NA NA "409" "Docosahexaenoate (DHA; 22:6n3)"
"242" 242 "X-02249" NA NA "492" "X-02249"
"243" 243 "1-linoleoylglycerophosphoethanolamine*" NA NA "497" "1-linoleoylglycerophosphoethanolamine*"
"244" 244 "1-stearoylglycerophosphocholine" NA NA "622" "1-stearoylglycerophosphocholine"
"245" 245 "Arachidonate (20:4n6)" NA NA "319" "Arachidonate (20:4n6)"
"246" 246 "Proline" NA NA "355" "Proline"
"247" 247 "Kynurenine" NA NA "375" "Kynurenine"
"248" 248 "Eicosapentaenoate (EPA; 20:5n3)" NA NA "402" "Eicosapentaenoate (EPA; 20:5n3)"
"249" 249 "2-hydroxybutyrate (AHB)" NA NA "420" "2-hydroxybutyrate (AHB)"
"250" 250 "2-aminobutyrate" NA NA "471" "2-aminobutyrate"
"251" 251 "Palmitoyl sphingomyelin" NA NA "751" "Palmitoyl sphingomyelin"
"252" 252 "Cholesterol" NA NA "307" "Cholesterol"
"253" 253 "N1-methyladenosine" NA NA "382" "N1-methyladenosine"
"254" 254 "Propionylcarnitine" NA NA "479" "Propionylcarnitine"
"255" 255 "Lysine" NA NA "326" "Lysine"
"256" 256 "3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)" NA NA "461" "3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)"
"257" 257 "X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide" NA NA "505" "X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide"
"258" 258 "1-palmitoleoylglycerophosphocholine*" NA NA "559" "1-palmitoleoylglycerophosphocholine*"
"259" 259 "Isobutyrylcarnitine" NA NA "573" "Isobutyrylcarnitine"
"260" 260 "1-oleoylglycerophosphocholine" NA NA "621" "1-oleoylglycerophosphocholine"
"261" 261 "Phenylacetylglutamine" NA NA "677" "Phenylacetylglutamine"
"262" 262 "1-myristoylglycerophosphocholine" NA NA "705" "1-myristoylglycerophosphocholine"
"263" 263 "Myristate (14:0)" NA NA "334" "Myristate (14:0)"
"264" 264 "Caproate (6:0)" NA NA "480" "Caproate (6:0)"
"265" 265 "X-11317" NA NA "496" "X-11317"
"266" 266 "X-11787" NA NA "541" "X-11787"
"267" 267 "Phenol sulfate" NA NA "486" "Phenol sulfate"
"268" 268 "3-dehydrocarnitine*" NA NA "500" "3-dehydrocarnitine*"
"269" 269 "1-eicosatrienoylglycerophosphocholine*" NA NA "602" "1-eicosatrienoylglycerophosphocholine*"
"270" 270 "X-12524" NA NA "630" "X-12524"
"271" 271 "Betaine" NA NA "362" "Betaine"
"272" 272 "10-undecenoate (11:1n1)" NA NA "482" "10-undecenoate (11:1n1)"
"273" 273 "Acetylcarnitine" NA NA "463" "Acetylcarnitine"
"274" 274 "X-09789" NA NA "510" "X-09789"
"275" 275 "Dihomo-linolenate (20:3n3 or n6)" NA NA "712" "Dihomo-linolenate (20:3n3 or n6)"
"276" 276 "Tryptophan" NA NA "304" "Tryptophan"
"277" 277 "X-03094" NA NA "373" "X-03094"
"278" 278 "Glutamate" NA NA "466" "Glutamate"
"279" 279 "Myristoleate (14:1n5)" NA NA "477" "Myristoleate (14:1n5)"
"280" 280 "X-11538" NA NA "531" "X-11538"
"281" 281 "4-androsten-3beta,17beta-diol disulfate 1*" NA NA "747" "4-androsten-3beta,17beta-diol disulfate 1*"
"282" 282 "Stearate (18:0)" NA NA "331" "Stearate (18:0)"
"283" 283 "Pelargonate (9:0)" NA NA "366" "Pelargonate (9:0)"
"284" 284 "Myo-inositol" NA NA "417" "Myo-inositol"
"285" 285 "Indolepropionate" NA NA "475" "Indolepropionate"
"286" 286 "1-palmitoylglycerophosphocholine" NA NA "619" "1-palmitoylglycerophosphocholine"
"287" 287 "5-oxoproline" NA NA "337" "5-oxoproline"
"288" 288 "Heptanoate (7:0)" NA NA "349" "Heptanoate (7:0)"
"289" 289 "Gamma-glutamylleucine" NA NA "401" "Gamma-glutamylleucine"
