"","trait","cpg","method","nsnp","beta","se","pval","decision","pass"
"21","Subjective well being","cg21781157","Wald ratio",1,11.185280952381,0.475647619047619,2.80493614763461e-122,2,FALSE
"22","Subjective well being","cg23383871","Wald ratio",1,-8.32938571428571,0.47797619047619,5.20548683719212e-68,2,FALSE
"23","Subjective well being","cg24259291","Wald ratio",1,20.5351476190476,0.463419047619048,0,2,FALSE
"24","Subjective well being","cg26206598","Wald ratio",1,-14.8692333333333,0.474328571428571,1.0372000655653e-215,2,FALSE
"25","Subjective well being","cg27229100","Wald ratio",1,-6.49944285714286,0.479119047619048,6.42258992792354e-42,2,FALSE
"26",NA,"cg00022997","Wald ratio",1,-0.106196513087412,0.0102657905283286,4.42303967112238e-25,2,FALSE
"27",NA,"cg00023507","Wald ratio",1,-0.0956236750686488,0.0101574798869043,4.77088306790832e-21,2,FALSE
"28",NA,"cg00047553","Wald ratio",1,-0.0657832775750427,0.0101744230347517,1.00928613392996e-10,2,FALSE
"29",NA,"cg00076543","Wald ratio",1,0.0485666547709252,0.00990967066153647,9.53814665338518e-07,1,FALSE
"30",NA,"cg00086577","Wald ratio",1,0.361630280491336,0.00915821067830542,0,2,FALSE
"31",NA,"cg00089464","Wald ratio",1,0.0615975670279464,0.00956930164700242,1.21860254618585e-10,2,FALSE
"32",NA,"cg00110832","Wald ratio",1,-0.0498883458078198,0.00956886238020638,1.8519757532885e-07,1,FALSE
"33",NA,"cg00119778","Wald ratio",1,-0.522638253379422,0.00844521791592785,0,2,FALSE
"34",NA,"cg00122779","Wald ratio",1,-0.181843903082001,0.0100772195680272,8.6290684804863e-73,2,FALSE
"35",NA,"cg00124375","Wald ratio",1,0.0946121691421602,0.009554805842733,4.07826543931781e-23,2,FALSE
"36",NA,"cg00169019","Wald ratio",1,0.0566459006933497,0.00956892513260581,3.22378893761753e-09,2,FALSE
"37",NA,"cg00175838","Wald ratio",1,-0.0653504742761413,0.00956861137060864,8.51091773810333e-12,2,FALSE
"38",NA,"cg00180097","Wald ratio",1,-0.0544194455614049,0.00963029697925299,1.59648471082895e-08,2,FALSE
"39",NA,"cg00188055","Wald ratio",1,0.085581157577509,0.00955988878708721,3.48757271992134e-19,2,FALSE
"40",NA,"cg00208274","Wald ratio",1,0.0559713123994262,0.00928139363839582,1.63467550174859e-09,2,FALSE
"41",NA,"cg00225157","Wald ratio",1,0.0657274279395458,0.00956873687540751,6.46641939546874e-12,2,FALSE
"42",NA,"cg00232453","Wald ratio",1,-0.0506407470770424,0.00957243926697416,1.22138798323975e-07,2,FALSE
"43",NA,"cg00250711","Wald ratio",1,0.0857574290675212,0.00954200435324831,2.53239834762186e-19,2,FALSE
"44",NA,"cg00330953","Wald ratio",1,-0.0477651183729452,0.00957501211535098,6.08443061923123e-07,1,FALSE
"45",NA,"cg00334532","Wald ratio",1,-0.238312967513744,0.00960281142830058,5.8761414530856e-136,2,FALSE
"46",NA,"cg00354641","Wald ratio",1,0.0754576267386989,0.00989592788606027,2.43809562709855e-14,2,FALSE
"47",NA,"cg00357273","Wald ratio",1,0.0493228211841139,0.00957494936295155,2.58775689734801e-07,1,FALSE
"48",NA,"cg00366603","Wald ratio",1,-0.303953922646869,0.00987804345222136,6.47219618785812e-208,2,FALSE
"49",NA,"cg00383136","Wald ratio",1,0.101952380056442,0.00954602050681213,1.26146182203076e-26,2,FALSE
"50",NA,"cg00403478","Wald ratio",1,-0.07299628937567,0.0095636539310533,2.29926961216388e-14,2,FALSE
"51",NA,"cg00403498","Wald ratio",1,0.292100433660441,0.00898721038984574,1.00593433125194e-231,2,FALSE
"52",NA,"cg00406022","Wald ratio",1,-0.0861802547349125,0.00955982603468778,1.97166967776071e-19,2,FALSE
"53",NA,"cg00433866","Wald ratio",1,0.0511282077158515,0.00957501211535098,9.30728683916812e-08,2,FALSE
"54",NA,"cg00440797","Wald ratio",1,-0.769694198944411,0.00763157030485696,0,2,FALSE
"55",NA,"cg00442389","Wald ratio",1,-0.105404577806545,0.00954947188878104,2.51276671615225e-28,2,FALSE
"56",NA,"cg00501919","Wald ratio",1,-0.0987391434433856,0.00955392730914091,4.89783729757919e-25,2,FALSE
"57",NA,"cg00523604","Wald ratio",1,-0.296771596769565,0.00989894000123313,1.781510101125e-197,2,FALSE
"58",NA,"cg00526843","Wald ratio",1,-0.0624169878597653,0.0104996687210219,2.77026878969173e-09,2,FALSE
"59",NA,"cg00528492","Wald ratio",1,0.313808747711299,0.00932387701281314,2.50773743933692e-248,2,FALSE
"60",NA,"cg00536532","Wald ratio",1,-0.0737403445757677,0.00927549491284895,1.86485544042735e-15,2,FALSE
"61",NA,"cg00558297","Wald ratio",1,-0.0674646653654973,0.0105801800494967,1.81164290828378e-10,2,FALSE
"62",NA,"cg00578039","Wald ratio",1,-0.0982842512998831,0.00955154271796239,7.82719105240133e-25,2,FALSE
"63",NA,"cg00579105","Wald ratio",1,-0.0632201558201306,0.00956578751263408,3.86961289613422e-11,2,FALSE
"64",NA,"cg00586094","Wald ratio",1,-0.084032491111859,0.0095622106258663,1.52276559963549e-18,2,FALSE
"65",NA,"cg00587922","Wald ratio",1,-0.0590737910274799,0.00927844427562238,1.93040783041173e-10,2,FALSE
"66",NA,"cg00588198","Wald ratio",1,-0.0895967463697377,0.00955424107113808,6.74315105889883e-21,2,FALSE
"67",NA,"cg00598125","Wald ratio",1,-0.219886603953323,0.0103783055805151,1.25494464883063e-99,2,FALSE
"68",NA,"cg00648423","Wald ratio",1,0.112392057483604,0.00974670268020444,9.17581263564972e-31,2,FALSE
"69",NA,"cg00649377","Wald ratio",1,0.0562529451680893,0.00957212550497699,4.1841079675767e-09,2,FALSE
"70",NA,"cg00657529","Wald ratio",1,-0.0755919796258887,0.00956541099823747,2.73061939302605e-15,2,FALSE
"71",NA,"cg00689685","Wald ratio",1,-0.158078565377673,0.0103523888395486,1.21606823145863e-52,2,FALSE
"72",NA,"cg00718684","Wald ratio",1,-0.0600288825468767,0.00957200000017812,3.58046247686477e-10,2,FALSE
"73",NA,"cg00755130","Wald ratio",1,0.110874390703275,0.0101438626162269,8.26710962815685e-28,2,FALSE
"74",NA,"cg00780364","Wald ratio",1,-0.0793472714652621,0.00955022491757426,9.69854326714216e-17,2,FALSE
"75",NA,"cg00797104","Wald ratio",1,-0.0479595253063941,0.00957419633415833,5.46430798171185e-07,1,FALSE
"76",NA,"cg00848392","Wald ratio",1,-0.0689815163646339,0.00956861137060864,5.63038691474638e-13,2,FALSE
"77",NA,"cg00857968","Wald ratio",1,0.0862689238753138,0.00954915812678387,1.65219100237846e-19,2,FALSE
"78",NA,"cg00861856","Wald ratio",1,-0.0510196460648294,0.00956936439940186,9.73723234506574e-08,2,FALSE
"79",NA,"cg00866054","Wald ratio",1,-0.07449500493137,0.0101881030578284,2.63272935457947e-13,2,FALSE
"80",NA,"cg00869530","Wald ratio",1,-0.116439336237547,0.0101384031574761,1.5697559517931e-30,2,FALSE
"81",NA,"cg00900444","Wald ratio",1,0.0534576395352686,0.0095667287986256,2.29871244931518e-08,2,FALSE
"82",NA,"cg00916439","Wald ratio",1,0.265927474647,0.0100113295486208,1.83438198664887e-155,2,FALSE
"83",NA,"cg00934322","Wald ratio",1,0.125796974041256,0.0095311481881461,8.94851838152462e-40,2,FALSE
"84",NA,"cg00936309","Wald ratio",1,-0.0487596811515865,0.00956861137060864,3.47280928825944e-07,1,FALSE
"85",NA,"cg00971309","Wald ratio",1,-0.0526121764576843,0.00957174899058038,3.87160428403815e-08,2,FALSE
"86",NA,"cg00994601","Wald ratio",1,0.0473924946251017,0.00957356881016399,7.40809992713571e-07,1,FALSE
"87",NA,"cg00995368","Wald ratio",1,-0.114891736562688,0.00931835480166288,6.27450094420211e-35,2,FALSE
"88",NA,"cg01015008","Wald ratio",1,0.146647086277444,0.00921958252495259,5.75360154695935e-57,2,FALSE
"89",NA,"cg01016122","Wald ratio",1,0.1280679206244,0.00965276233825063,3.57354352139294e-40,2,FALSE
"90",NA,"cg01018117","Wald ratio",1,0.113031818195841,0.0101437998638275,7.75117678652466e-29,2,FALSE
"91",NA,"cg01050736","Wald ratio",1,-0.212951585282192,0.00964228268754503,4.38759158648746e-108,2,FALSE
"92",NA,"cg01064373","Wald ratio",1,-0.154451100175948,0.00957187449537925,1.42641871929927e-58,2,FALSE
"93",NA,"cg01132696","Wald ratio",1,0.175201436097035,0.00960456849548475,2.41870891550186e-74,2,FALSE
"94",NA,"cg01157951","Wald ratio",1,-0.109202729534733,0.00960695308666327,6.10140274287692e-30,2,FALSE
"95",NA,"cg01188191","Wald ratio",1,0.0546227005831741,0.0095726902765719,1.15596045421658e-08,2,FALSE
"96",NA,"cg01190171","Wald ratio",1,-0.0489582924957975,0.0095770201921329,3.18666219491204e-07,1,FALSE
"97",NA,"cg01253676","Wald ratio",1,0.0577736240635914,0.00957231376217529,1.58478985772253e-09,2,FALSE
"98",NA,"cg01255021","Wald ratio",1,0.0464601822266997,0.00928697860194551,5.65261103464273e-07,1,FALSE
"99",NA,"cg01260810","Wald ratio",1,0.0735077841834626,0.0108430498507289,1.20798368515648e-11,2,FALSE
"100",NA,"cg01279632","Wald ratio",1,-0.0799333788759826,0.0101867225050409,4.26718692759338e-15,2,FALSE
"101",NA,"cg01287833","Wald ratio",1,-0.0507990713808163,0.00957356881016399,1.11946927600392e-07,2,FALSE
"102",NA,"cg01290934","Wald ratio",1,-0.4160209854538,0.00891485687329748,0,2,FALSE
"103",NA,"cg01297670","Wald ratio",1,-0.118292540097654,0.00954125132445509,2.67890385982024e-35,2,FALSE
"104",NA,"cg01338864","Wald ratio",1,-0.0608606028489848,0.00957156073338207,2.0375639486359e-10,2,FALSE
"105",NA,"cg01339648","Wald ratio",1,-0.0822257240273338,0.0095638421882516,8.14275507178271e-18,2,FALSE
"106",NA,"cg01340991","Wald ratio",1,-0.0494207149272321,0.00957325504816681,2.43838592013101e-07,1,FALSE
"107",NA,"cg01341801","Wald ratio",1,-0.802138570004961,0.0079179095034777,0,2,FALSE
"108",NA,"cg01367322","Wald ratio",1,0.0645636219396291,0.00956635228422899,1.48834309250032e-11,2,FALSE
"109",NA,"cg01369511","Wald ratio",1,-0.234259162510259,0.0100028579746971,2.72270929027168e-121,2,FALSE
"110",NA,"cg01372898","Wald ratio",1,0.107893902739722,0.00953748618048901,1.13651846827389e-29,2,FALSE
"111",NA,"cg01423251","Wald ratio",1,0.0794147930470539,0.00956001429188608,9.81731980216785e-17,2,FALSE
"112",NA,"cg01505556","Wald ratio",1,-0.0524140671326688,0.0104054773694704,4.72486789834689e-07,1,FALSE
"113",NA,"cg01517384","Wald ratio",1,-0.0930027583538573,0.00926614480533317,1.04989776797556e-23,2,FALSE
"114",NA,"cg01541565","Wald ratio",1,-0.468892203816351,0.00941417771559974,0,2,FALSE
"115",NA,"cg01569083","Wald ratio",1,0.0740603818128849,0.00956478347424312,9.70770069221069e-15,2,FALSE
"116",NA,"cg01584389","Wald ratio",1,0.0558109800188704,0.00957206275257755,5.52245935811899e-09,2,FALSE
"117",NA,"cg01620082","Wald ratio",1,-0.0591782110201393,0.00928233492438734,1.82535690402522e-10,2,FALSE
"118",NA,"cg01667634","Wald ratio",1,0.0494202756604361,0.00957494936295155,2.45091758048698e-07,1,FALSE
"119",NA,"cg01670444","Wald ratio",1,0.0695314156408806,0.00956321466425725,3.57587643194978e-13,2,FALSE
"120",NA,"cg01692379","Wald ratio",1,-0.054155885483779,0.00990075982081674,4.50361594636488e-08,2,FALSE
"121",NA,"cg01738650","Wald ratio",1,-0.432651438094798,0.00892828588677651,0,2,FALSE
"122",NA,"cg01745539","Wald ratio",1,-0.629446288599325,0.008774919022558,0,2,FALSE
"123",NA,"cg01779447","Wald ratio",1,-0.0517353371803826,0.00957018018059451,6.44875226767453e-08,2,FALSE
"124",NA,"cg01782486","Wald ratio",1,0.0467352887458217,0.00935054678257291,5.78876593965995e-07,1,FALSE
"125",NA,"cg01787834","Wald ratio",1,-0.0703535975782746,0.00956660329382673,1.92241817497898e-13,2,FALSE
"126",NA,"cg01812434","Wald ratio",1,-0.324670372272261,0.00893581617470868,4.77097216586088e-289,2,FALSE
"127",NA,"cg01815645","Wald ratio",1,0.131886027615608,0.00957526312494872,3.67339675517507e-43,2,FALSE
"128",NA,"cg01830271","Wald ratio",1,0.0457646973837645,0.00927894629481786,8.13499626545598e-07,1,FALSE
"129",NA,"cg01849401","Wald ratio",1,-0.321086017968947,0.0096901000159143,9.17074347746568e-241,2,FALSE
"130",NA,"cg01889448","Wald ratio",1,-0.3432944686433,0.00989718293404896,1.27747277668341e-263,2,FALSE
"131",NA,"cg01937212","Wald ratio",1,-0.15578747527431,0.00949506555847112,1.69849972452395e-60,2,FALSE
"132",NA,"cg01945183","Wald ratio",1,0.0568625847285978,0.00957118421898547,2.83256242124875e-09,2,FALSE
"133",NA,"cg01949403","Wald ratio",1,-0.0752160300008752,0.00968081266079796,7.87351368599764e-15,2,FALSE
"134",NA,"cg01954567","Wald ratio",1,-0.0952909618468458,0.00962006833814513,3.94250510751244e-23,2,FALSE
"135",NA,"cg01974478","Wald ratio",1,0.0680894282542696,0.00927587142724556,2.12815537084243e-13,2,FALSE
"136",NA,"cg01982166","Wald ratio",1,-0.123747355170919,0.0101398464626631,2.95682041279767e-34,2,FALSE
"137",NA,"cg02000145","Wald ratio",1,0.289357902795545,0.00950416465638916,1.37905193974023e-203,2,FALSE
"138",NA,"cg02010152","Wald ratio",1,0.0521109102909996,0.00963814102918234,6.41826651339178e-08,2,FALSE
"139",NA,"cg02015582","Wald ratio",1,0.0551862171300981,0.00957168623818094,8.13828131034573e-09,2,FALSE
"140",NA,"cg02053920","Wald ratio",1,0.0495041128660809,0.00964460452632412,2.85418094283967e-07,1,FALSE
"141",NA,"cg02108998","Wald ratio",1,-0.0738542401807418,0.0101970766509476,4.39879491732805e-13,2,FALSE
"142",NA,"cg02137984","Wald ratio",1,0.0616479572046925,0.00956490897904199,1.15431691871636e-10,2,FALSE
"143",NA,"cg02169713","Wald ratio",1,-0.127318468717951,0.0101605547544766,5.07379306395277e-36,2,FALSE
"144",NA,"cg02197634","Wald ratio",1,0.0640976853738261,0.0095696154089996,2.11230648589809e-11,2,FALSE
"145",NA,"cg02205391","Wald ratio",1,-0.14121115967641,0.00952110780423654,9.18267924738948e-50,2,FALSE
"146",NA,"cg02236874","Wald ratio",1,0.0547236691938646,0.00957582789654363,1.09851475255072e-08,2,FALSE
"147",NA,"cg02249390","Wald ratio",1,0.0627731704789569,0.0101951940789646,7.40734299363848e-10,2,FALSE
"148",NA,"cg02266086","Wald ratio",1,0.0532351822792725,0.0095757651441442,2.70756523907574e-08,2,FALSE
"149",NA,"cg02272968","Wald ratio",1,-0.0481651021669423,0.00964905994668398,5.9853710614249e-07,1,FALSE
"150",NA,"cg02293354","Wald ratio",1,-0.15733394540598,0.00949600684446264,1.17858833766559e-61,2,FALSE
"151",NA,"cg02304584","Wald ratio",1,-0.109266862486955,0.00954727555480083,2.49618347348303e-30,2,FALSE
"152",NA,"cg02308296","Wald ratio",1,-0.0737114157196283,0.00962816339767221,1.9209350813152e-14,2,FALSE
"153",NA,"cg02310296","Wald ratio",1,-0.0525484200198586,0.00928528428716077,1.51971572178427e-08,2,FALSE
"154",NA,"cg02357491","Wald ratio",1,-0.0566042958525244,0.00957112146658603,3.33753068562878e-09,2,FALSE
"155",NA,"cg02388468","Wald ratio",1,-0.06683268595079,0.0101727287199669,5.03864538937117e-11,2,FALSE
"156",NA,"cg02389040","Wald ratio",1,-0.112656433342423,0.00954426343962796,3.74072610768264e-32,2,FALSE
"157",NA,"cg02402436","Wald ratio",1,-0.0701160169940146,0.00957087045698829,2.37157048064121e-13,2,FALSE
"158",NA,"cg02432444","Wald ratio",1,-0.069027576625819,0.0095667287986256,5.37838611046165e-13,2,FALSE
"159",NA,"cg02446475","Wald ratio",1,0.126782500474379,0.00924280091274345,8.04404967520697e-43,2,FALSE
"160",NA,"cg02481669","Wald ratio",1,0.059613210653021,0.0095699919233962,4.68880210518103e-10,2,FALSE
"161",NA,"cg02537142","Wald ratio",1,0.0945801654184485,0.0105566478997087,3.2674887634095e-19,2,FALSE
"162",NA,"cg02567488","Wald ratio",1,-0.0907985803237119,0.00969060203510978,7.27001300140542e-21,2,FALSE
"163",NA,"cg02597894","Wald ratio",1,-0.0865338645057273,0.00955505685233074,1.3489839415902e-19,2,FALSE
"164",NA,"cg02631126","Wald ratio",1,0.0486256420263939,0.0092866020875489,1.63998916589269e-07,1,FALSE
"165",NA,"cg02638136","Wald ratio",1,0.0692125706993526,0.00989517485726705,2.66058849881243e-12,2,FALSE
"166",NA,"cg02652369","Wald ratio",1,-0.0603977411507541,0.00956453246464538,2.70578474467139e-10,2,FALSE
"167",NA,"cg02680487","Wald ratio",1,0.0744855920714547,0.0101913034301996,2.6965797133784e-13,2,FALSE
"168",NA,"cg02681370","Wald ratio",1,0.0815834532191192,0.00963155202724169,2.44474426290356e-17,2,FALSE
"169",NA,"cg02734521","Wald ratio",1,-0.088664182961738,0.0101614960404681,2.64995751106723e-18,2,FALSE
"170",NA,"cg02753903","Wald ratio",1,0.0509287805904479,0.00928428024876982,4.12336407918116e-08,2,FALSE
"171",NA,"cg02760218","Wald ratio",1,-0.134359350686929,0.0095208567946388,3.19875506073007e-45,2,FALSE
"172",NA,"cg02779707","Wald ratio",1,-0.0640146011969745,0.00956559925543577,2.19887588653306e-11,2,FALSE
"173",NA,"cg02782857","Wald ratio",1,0.0636909243206901,0.00927568317004726,6.58237238391212e-12,2,FALSE
"174",NA,"cg02791903","Wald ratio",1,0.133927676931217,0.00951834669866141,5.7679156847594e-45,2,FALSE
"175",NA,"cg02793323","Wald ratio",1,-0.544478723983489,0.00915381801034498,0,2,FALSE
"176",NA,"cg02804047","Wald ratio",1,-0.315276777343675,0.00922956015646272,9.67741192161413e-256,2,FALSE
"177",NA,"cg02806715","Wald ratio",1,0.0911949872309412,0.00955869649149795,1.421104217815e-21,2,FALSE
"178",NA,"cg02808240","Wald ratio",1,-0.137573465833577,0.0101385914146744,6.09109108667373e-42,2,FALSE
"179",NA,"cg02824029","Wald ratio",1,0.0815945603938192,0.00955693942431378,1.36885310935437e-17,2,FALSE
"180",NA,"cg02863594","Wald ratio",1,0.0476044722303923,0.00957375706736229,6.61318431284781e-07,1,FALSE
"181",NA,"cg02867250","Wald ratio",1,0.103302246920682,0.00955022491757426,2.868152453962e-27,2,FALSE
"182",NA,"cg02919082","Wald ratio",1,-0.557190728546583,0.00922918364206611,0,2,FALSE
"183",NA,"cg02920196","Wald ratio",1,0.301130252929503,0.00986135131397172,8.56803830939915e-205,2,FALSE
"184",NA,"cg02925367","Wald ratio",1,-0.0957220080785631,0.0101773096451257,5.18162134403447e-21,2,FALSE
"185",NA,"cg02932780","Wald ratio",1,-0.11457282886876,0.00953968251446922,3.14349828313931e-33,2,FALSE
"186",NA,"cg02956248","Wald ratio",1,-0.14183949945195,0.0095058589711739,2.39663737783144e-50,2,FALSE
"187",NA,"cg02956255","Wald ratio",1,0.080084988673017,0.00955631190031943,5.27822647980351e-17,2,FALSE
"188",NA,"cg02957632","Wald ratio",1,-0.144637503437946,0.0099465690724041,6.61791529406823e-48,2,FALSE
"189",NA,"cg02964065","Wald ratio",1,-0.107932118950978,0.00954244362004435,1.16103330653744e-29,2,FALSE
"190",NA,"cg02980249","Wald ratio",1,-0.0982110192497428,0.00961906429975417,1.78793417379801e-24,2,FALSE
"191",NA,"cg03000593","Wald ratio",1,0.0594617891131849,0.00956666604622616,5.11554689429121e-10,2,FALSE
"192",NA,"cg03030317","Wald ratio",1,0.0540852262820155,0.0095726902765719,1.60494039065409e-08,2,FALSE
"193",NA,"cg03031988","Wald ratio",1,0.192798652203724,0.0097804007187009,1.67586695648717e-86,2,FALSE
"194",NA,"cg03034365","Wald ratio",1,0.141543621888615,0.00921876674375994,3.3374230912204e-53,2,FALSE
"195",NA,"cg03036047","Wald ratio",1,-0.110219694919972,0.0101468747313998,1.74058976709064e-27,2,FALSE
"196",NA,"cg03037030","Wald ratio",1,0.0699286383293025,0.0095625871402629,2.61764503333576e-13,2,FALSE
"197",NA,"cg03045620","Wald ratio",1,0.314549037767431,0.0096676974093161,3.29432176782651e-232,2,FALSE
"198",NA,"cg03046001","Wald ratio",1,0.0564067512991039,0.00956195961626856,3.65537095982851e-09,2,FALSE
"199",NA,"cg03078400","Wald ratio",1,-0.102382547754567,0.00954953464118048,8.09391783871518e-27,2,FALSE
"200",NA,"cg03127506","Wald ratio",1,-0.0819898377578586,0.0095445144492257,8.67745570742e-18,2,FALSE
"201",NA,"cg03130418","Wald ratio",1,-0.0547137543147539,0.0102018458333046,8.1795254118037e-08,2,FALSE
"202",NA,"cg03130962","Wald ratio",1,-0.0489264142768846,0.00957262752417246,3.20331294269376e-07,1,FALSE
"203",NA,"cg03145486","Wald ratio",1,0.259210018544709,0.00933222308193796,8.50382118975279e-170,2,FALSE
"204",NA,"cg03154717","Wald ratio",1,0.0617241386176063,0.00956892513260581,1.11498105262401e-10,2,FALSE
"205",NA,"cg03198009","Wald ratio",1,-0.0864882435113382,0.00955706492911265,1.43406586960169e-19,2,FALSE
"206",NA,"cg03202060","Wald ratio",1,0.579986667184443,0.00951138118232415,0,2,FALSE
"207",NA,"cg03228773","Wald ratio",1,-0.0505564078522021,0.00963569368560438,1.54776799186184e-07,1,FALSE
"208",NA,"cg03228974","Wald ratio",1,-0.0747952124102658,0.00989241375169192,4.00395307267974e-14,2,FALSE
"209",NA,"cg03256310","Wald ratio",1,0.208973647929624,0.0100387523471737,3.05545323661056e-96,2,FALSE
"210",NA,"cg03270340","Wald ratio",1,-0.056232989905069,0.00956974091379847,4.19982284193369e-09,2,FALSE
"211",NA,"cg03280235","Wald ratio",1,-0.0716868350566651,0.00956039080628269,6.46427204133617e-14,2,FALSE
"212",NA,"cg03298800","Wald ratio",1,-0.0742367160552966,0.0101686498140037,2.86598025732348e-13,2,FALSE
"213",NA,"cg03303475","Wald ratio",1,0.0683152113874358,0.00956760733221768,9.3154018396667e-13,2,FALSE
"214",NA,"cg03337084","Wald ratio",1,-0.0609476404270008,0.0095667287986256,1.88054393266331e-10,2,FALSE
"215",NA,"cg03354376","Wald ratio",1,-0.060965713118038,0.0100205541513377,1.17172311334107e-09,2,FALSE
"216",NA,"cg03371894","Wald ratio",1,-0.0563573024083493,0.00956842311341034,3.86368996723786e-09,2,FALSE
"217",NA,"cg03392100","Wald ratio",1,-0.083912696781338,0.0101646336604398,1.5144671973701e-16,2,FALSE
"218",NA,"cg03399814","Wald ratio",1,0.0510893639806014,0.00957068219978999,9.39199536057098e-08,2,FALSE
"219",NA,"cg03403720","Wald ratio",1,0.428176501738706,0.00908981056292154,0,2,FALSE
"220",NA,"cg03403996","Wald ratio",1,-0.0697600853844208,0.0105740930667515,4.18814111811685e-11,2,FALSE
"221",NA,"cg03404662","Wald ratio",1,-0.0465146513094091,0.00935148806856443,6.55726527811469e-07,1,FALSE
"222",NA,"cg03434432","Wald ratio",1,0.514724611039105,0.00879236418960086,0,2,FALSE
"223",NA,"cg03438552","Wald ratio",1,0.171546987363553,0.0101131139405039,1.54721982477434e-64,2,FALSE
"224",NA,"cg03449857","Wald ratio",1,-0.0764351208646939,0.00956152034947251,1.30593488903771e-15,2,FALSE
"225",NA,"cg03461499","Wald ratio",1,0.370681310071407,0.00929513641387203,0,2,FALSE
"226",NA,"cg03465320","Wald ratio",1,-0.121368223451149,0.00953045791175232,3.78943906521944e-37,2,FALSE
"227",NA,"cg03465464","Wald ratio",1,0.169092364507264,0.00948973160451917,5.08199637493073e-71,2,FALSE
"228",NA,"cg03495632","Wald ratio",1,-0.147644598418859,0.0101197029424446,3.26078486747417e-48,2,FALSE
"229",NA,"cg03513762","Wald ratio",1,0.056608563015686,0.00957262752417246,3.34737155979131e-09,2,FALSE
"230",NA,"cg03515726","Wald ratio",1,0.0630718091478669,0.00956930164700242,4.36707232519116e-11,2,FALSE
"231",NA,"cg03520342","Wald ratio",1,0.0662905052196738,0.0101985199561346,8.03134415323422e-11,2,FALSE
"232",NA,"cg03531211","Wald ratio",1,0.0482056402169772,0.00957852624971933,4.83674658484741e-07,1,FALSE
"233",NA,"cg03543593","Wald ratio",1,0.103524264909883,0.009624523758505,5.5348017013764e-27,2,FALSE
"234",NA,"cg03553308","Wald ratio",1,0.0692427546034807,0.00989793596284218,2.63982666629017e-12,2,FALSE
"235",NA,"cg03599224","Wald ratio",1,0.080592655584444,0.00955524510952904,3.32937182605529e-17,2,FALSE
"236",NA,"cg03607220","Wald ratio",1,-0.594602014774792,0.00869020328332109,0,2,FALSE
"237",NA,"cg03608520","Wald ratio",1,0.0819026746750438,0.00955825722470191,1.04580347896057e-17,2,FALSE
"238",NA,"cg03630271","Wald ratio",1,-0.070195022264903,0.0101991474801289,5.88358812984706e-12,2,FALSE
"239",NA,"cg03634778","Wald ratio",1,0.0514381418166597,0.0097760708031399,1.42777968293705e-07,1,FALSE
"240",NA,"cg03637976","Wald ratio",1,-0.0473254750625054,0.00957545138214703,7.71764408333507e-07,1,FALSE
"241",NA,"cg03638120","Wald ratio",1,-0.115142118636432,0.00953924324767318,1.51466647217535e-33,2,FALSE
"242",NA,"cg03639929","Wald ratio",1,0.0838979499674709,0.00955104069876691,1.57525540200571e-18,2,FALSE
